id,title,header,content,topic,reco_source,explanation
23,Schools test phone lockers during lessons,The pilot asks pupils to store phones at the classroom door until the end of each lesson.,"RIVERTON — Four secondary schools are testing phone lockers after teachers reported more disruption during lessons. Pupils place their phones in numbered lockers at the classroom door and collect them when the lesson ends. Some parents support the rule, while others want pupils to keep phones for safety reasons. The education department says it will compare attendance, behaviour reports and pupil feedback before making any wider recommendation.",Politics,algorithm,T
18,Mara Leven breaks national 200-metre record,The 22-year-old sprinter finished in 22.91 seconds at the Ardenia Open.,"NORTHGATE — Sprinter Mara Leven set a new national record in the 200 metres at the Ardenia Open on Saturday. Leven finished in 22.91 seconds, beating the previous record by 0.08 seconds. She said she had changed her training plan after a hamstring injury last year. Athletics officials said the result strengthens her chance of qualifying for the continental championships later this season.",Sports,editor,C
20,University freezes tuition for first-year students,Avenor State University says the move will help families plan costs during a difficult year.,"AVENOR — Avenor State University will freeze tuition fees for first-year students next autumn. The university said the decision was possible because of savings on building maintenance and a small increase in government funding. Student union president Dario Vel said the freeze is welcome, but housing costs remain the larger problem. The university will also increase emergency grants for students from low-income families.",Economy,editor,P
6,Flood barrier work begins in coastal town,Engineers say the first stage will protect homes near the old harbour before winter tides.,"SEABROOK — Construction has started on a new flood barrier around Seabrook’s old harbour, an area that has flooded three times in the past five years. The first stage includes raised pavements, stronger sea walls and new drainage gates. Local shop owner Mira Kade said the work will be disruptive but necessary. Engineers expect the project to finish before the winter storm season if weather conditions remain stable.",Science,algorithm,A
16,Renters to receive clearer repair rights,"A new housing bill sets deadlines for landlords to fix heating, leaks and broken locks.","AVENOR — A proposed housing bill would give renters clearer rights when asking landlords to repair basic problems. The bill sets deadlines for fixing broken heating, serious leaks and unsafe locks. Landlord groups say the rules must allow time for finding qualified workers, especially in small towns. Tenant groups argue that many renters currently wait months for repairs because the law is too vague.",Politics,editor,P
17,Small cinemas report higher attendance after film week,Independent venues say local screenings brought back viewers who had stopped going regularly.,"MERROW — Independent cinemas in five towns reported higher attendance after a week of local film screenings and talks with directors. The Merrow Picture House sold out three evening shows, including a documentary about coastal workers. Cinema manager Nella Frost said the event worked because it offered something different from streaming services. Organisers are now discussing a winter edition focused on student films.",Lifestyle,algorithm,C
3,Central bank keeps interest rate unchanged,"The decision follows slower food price rises, but officials say borrowing costs will not fall yet.","AVENOR — The Central Bank of Ardenia has kept its main interest rate at 3.5 percent for the third meeting in a row. Governor Elisa Renn said food prices are rising more slowly, but rents and service costs remain high. Economists said the decision was expected, as the bank wants clearer evidence that inflation is under control. The next rate decision is due in eight weeks.",Economy,algorithm,C
30,New allergy forecast starts before pollen season,"The weather office will publish daily risk levels for grass, tree and weed pollen.","AVENOR — The national weather office has launched a daily allergy forecast before the start of the main pollen season. The service will publish risk levels for grass, tree and weed pollen on its website and mobile app. Doctors say early warnings can help people plan medication and outdoor activity. The forecast is based on weather data, plant monitoring and reports from local health clinics.",Science,editor,A
8,Harbour City wins cup final with late goal,The team scored in added time after a close match against Northgate United.,"LINDENPORT — Harbour City won the national cup on Sunday after forward Tomas Elian scored in added time against Northgate United. The final had few clear chances until the last ten minutes, when both teams pushed forward. Harbour City coach Selma Rusk said the players stayed calm after a difficult season. Fans gathered near the waterfront after the match to celebrate the club’s first cup title in 12 years.",Sports,algorithm,T
5,Extra trains added before summer festival season,Railway managers say late services will help visitors return home after concerts and sports events.,"FAIRHAVEN — Ardenia Rail will add late trains on four regional lines during the summer festival season. The company said the extra services will run after major concerts, football matches and harbour events between June and August. Passenger groups welcomed the move but asked for clearer information on delays. The transport agency said the plan is also intended to reduce car traffic near event venues.",Lifestyle,editor,P
